No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,14,14,3,8,13,1
2,Applied Science,Animal Care,Male,Percentage,,,21.4%,57.1%,92.9%,7.1%
3,Applied Science,Animal Care,Female,Number,43,39,7,23,37,2
4,Applied Science,Animal Care,Female,Percentage,,,17.9%,59.0%,94.9%,5.1%
5,Applied Science,Animal Care,Total,Number,57,53,10,31,50,3
6,Applied Science,Animal Care,Total,Percentage,,,18.9%,58.5%,94.3%,5.7%
7,Applied Science,Applied Psychology,Male,Number,134,123,7,32,101,22
8,Applied Science,Applied Psychology,Male,Percentage,,,5.7%,26.0%,82.1%,17.9%
9,Applied Science,Applied Psychology,Female,Number,194,185,41,104,174,11
10,Applied Science,Applied Psychology,Female,Percentage,,,22.2%,56.2%,94.1%,5.9%
11,Applied Science,Applied Psychology,Total,Number,328,308,48,136,275,33
12,Applied Science,Applied Psychology,Total,Percentage,,,15.6%,44.2%,89.3%,10.7%
13,Applied Science,Exercise and Fitness Coaching,Male,Number,224,206,5,26,171,35
14,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,2.4%,12.6%,83.0%,17.0%
15,Applied Science,Exercise and Fitness Coaching,Female,Number,76,75,5,15,53,22
16,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,6.7%,20.0%,70.7%,29.3%
17,Applied Science,Exercise and Fitness Coaching,Total,Number,300,281,10,41,224,57
18,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,3.6%,14.6%,79.7%,20.3%
19,Applied Science,Exercise Science and Health Fitness,Male,Number,34,29,1,9,27,2
20,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,3.4%,31.0%,93.1%,6.9%
21,Applied Science,Exercise Science and Health Fitness,Female,Number,12,11,1,4,11,0
22,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,9.1%,36.4%,100.0%,0.0%
