No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,21131,20480,41611,23901,22675,46576
2,"Level 2+ in Chinese Language, English Language and Mathematics, and ‘Attained’ in Citizenship and Social Development",Number,14536,15228,29764,16126,16603,32729
3,"Level 2+ in Chinese Language, English Language and Mathematics, and ‘Attained’ in Citizenship and Social Development",Percentage,68.8%,74.4%,71.5%,67.5%,73.2%,70.3%
4,Level 2+ in five Category A subjects,Number,16420,16761,33181,18310,18351,36661
5,Level 2+ in five Category A subjects,Percentage,77.7%,81.8%,79.7%,76.6%,80.9%,78.7%
6,Level 2+ in five Category A / B subjects#,Number,16485,16888,33373,18385,18492,36877
7,Level 2+ in five Category A / B subjects#,Percentage,78.0%,82.5%,80.2%,76.9%,81.6%,79.2%
8,"Level 2+ in five Category A subjects, including Chinese Language and English Language",Number,14759,15544,30303,16421,17003,33424
9,"Level 2+ in five Category A subjects, including Chinese Language and English Language",Percentage,69.8%,75.9%,72.8%,68.7%,75.0%,71.8%
10,"Level 2+ in five Category A / B subjects#, including Chinese Language and English Language",Number,14783,15593,30376,16448,17055,33503
11,"Level 2+ in five Category A / B subjects#, including Chinese Language and English Language",Percentage,70.0%,76.1%,73.0%,68.8%,75.2%,71.9%
12,"Level 2+ in five Category A subjects, including Chinese Language, English Language and Mathematics",Number,14482,15107,29589,16114,16525,32639
13,"Level 2+ in five Category A subjects, including Chinese Language, English Language and Mathematics",Percentage,68.5%,73.8%,71.1%,67.4%,72.9%,70.1%
14,"Level 2+ in five Category A / B subjects#, including Chinese Language, English Language and Mathematics",Number,14495,15125,29620,16128,16543,32671
15,"Level 2+ in five Category A / B subjects#, including Chinese Language, English Language and Mathematics",Percentage,68.6%,73.9%,71.2%,67.5%,73.0%,70.1%
