No.,Description,Type,Day school candidates taking at least five Category A / B subjects# - Male,Day school candidates taking at least five Category A / B subjects# - Female,Day school candidates taking at least five Category A / B subjects# - Total,All candidates taking at least five Category A / B subjects# - Male,All candidates taking at least five Category A / B subjects# - Female,All candidates taking at least five Category A / B subjects# - Total
1,No. of candidates,Number,21145,20491,41636,23986,22715,46701
2,Total grade points 10 – 12,Number,2089,2137,4226,2376,2371,4747
3,Total grade points 10 – 12,Percentage,9.9%,10.4%,10.1%,9.9%,10.4%,10.2%
4,Total grade points 13 – 15,Number,3088,3605,6693,3493,3959,7452
5,Total grade points 13 – 15,Percentage,14.6%,17.6%,16.1%,14.6%,17.4%,16.0%
6,Total grade points 16 – 18,Number,3306,3804,7110,3653,4136,7789
7,Total grade points 16 – 18,Percentage,15.6%,18.6%,17.1%,15.2%,18.2%,16.7%
8,Total grade points 19 – 21,Number,2618,2927,5545,2883,3152,6035
9,Total grade points 19 – 21,Percentage,12.4%,14.3%,13.3%,12.0%,13.9%,12.9%
10,Total grade points 22 – 24,Number,1712,1704,3416,1889,1852,3741
11,Total grade points 22 – 24,Percentage,8.1%,8.3%,8.2%,7.9%,8.2%,8.0%
12,Total grade points 25 – 27,Number,1024,860,1884,1144,961,2105
13,Total grade points 25 – 27,Percentage,4.8%,4.2%,4.5%,4.8%,4.2%,4.5%
14,Total grade points 28 – 30,Number,599,412,1011,662,476,1138
15,Total grade points 28 – 30,Percentage,2.8%,2.0%,2.4%,2.8%,2.1%,2.4%
16,Total grade points 31 – 33,Number,330,189,519,354,206,560
17,Total grade points 31 – 33,Percentage,1.6%,0.9%,1.2%,1.5%,0.9%,1.2%
18,Total grade points 34 – 35,Number,109,53,162,115,60,175
19,Total grade points 34 – 35,Percentage,0.5%,0.3%,0.4%,0.5%,0.3%,0.4%
