行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科# - 男生,日校考生應考最少五科甲類學科／乙類學科# - 女生,日校考生應考最少五科甲類學科／乙類學科# - 總數,全體考生應考最少五科甲類學科／乙類學科# - 男生,全體考生應考最少五科甲類學科／乙類學科# - 女生,全體考生應考最少五科甲類學科／乙類學科# - 總數
1,考生人數,人數,21145,20491,41636,23986,22715,46701
2,總積點 10 – 12,人數,2089,2137,4226,2376,2371,4747
3,總積點 10 – 12,百分比,9.9%,10.4%,10.1%,9.9%,10.4%,10.2%
4,總積點 13 – 15,人數,3088,3605,6693,3493,3959,7452
5,總積點 13 – 15,百分比,14.6%,17.6%,16.1%,14.6%,17.4%,16.0%
6,總積點 16 – 18,人數,3306,3804,7110,3653,4136,7789
7,總積點 16 – 18,百分比,15.6%,18.6%,17.1%,15.2%,18.2%,16.7%
8,總積點 19 – 21,人數,2618,2927,5545,2883,3152,6035
9,總積點 19 – 21,百分比,12.4%,14.3%,13.3%,12.0%,13.9%,12.9%
10,總積點 22 – 24,人數,1712,1704,3416,1889,1852,3741
11,總積點 22 – 24,百分比,8.1%,8.3%,8.2%,7.9%,8.2%,8.0%
12,總積點 25 – 27,人數,1024,860,1884,1144,961,2105
13,總積點 25 – 27,百分比,4.8%,4.2%,4.5%,4.8%,4.2%,4.5%
14,總積點 28 – 30,人數,599,412,1011,662,476,1138
15,總積點 28 – 30,百分比,2.8%,2.0%,2.4%,2.8%,2.1%,2.4%
16,總積點 31 – 33,人數,330,189,519,354,206,560
17,總積點 31 – 33,百分比,1.6%,0.9%,1.2%,1.5%,0.9%,1.2%
18,總積點 34 – 35,人數,109,53,162,115,60,175
19,總積點 34 – 35,百分比,0.5%,0.3%,0.4%,0.5%,0.3%,0.4%
