No.,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,21712,20877,42589,28217,25678,53895
2,Core subjects at 332A or better,Number,8739,10364,19103,9573,11190,20763
3,Core subjects at 332A or better,Percentage,40.2%,49.6%,44.9%,33.9%,43.6%,38.5%
4,"Core subjects at 332A or better, with one elective at level 2+#",Number,8726,10328,19054,9552,11138,20690
5,"Core subjects at 332A or better, with one elective at level 2+#",Percentage,40.2%,49.5%,44.7%,33.9%,43.4%,38.4%
6,"Core subjects at 332A or better, with two electives at level 2+#",Number,8434,9924,18358,9130,10650,19780
7,"Core subjects at 332A or better, with two electives at level 2+#",Percentage,38.8%,47.5%,43.1%,32.4%,41.5%,36.7%
8,"Core subjects at 332A or better, with one elective at level 3+#",Number,8531,9913,18444,9326,10684,20010
9,"Core subjects at 332A or better, with one elective at level 3+#",Percentage,39.3%,47.5%,43.3%,33.1%,41.6%,37.1%
10,"Core subjects at 332A or better, with two electives at level 3+#",Number,7767,8680,16447,8405,9320,17725
11,"Core subjects at 332A or better, with two electives at level 3+#",Percentage,35.8%,41.6%,38.6%,29.8%,36.3%,32.9%
12,"Core subjects at 333A or better, with one elective at level 3+#",Number,8104,8971,17075,8862,9699,18561
13,"Core subjects at 333A or better, with one elective at level 3+#",Percentage,37.3%,43.0%,40.1%,31.4%,37.8%,34.4%
14,"Core subjects at 333A or better, with two electives at level 3+#",Number,7474,8079,15553,8088,8689,16777
15,"Core subjects at 333A or better, with two electives at level 3+#",Percentage,34.4%,38.7%,36.5%,28.7%,33.8%,31.1%
16,"Core subjects at 332A or better, with one elective at level 4+#",Number,7256,7712,14968,7935,8318,16253
17,"Core subjects at 332A or better, with one elective at level 4+#",Percentage,33.4%,36.9%,35.1%,28.1%,32.4%,30.2%
18,"Core subjects at 332A or better, with two electives at level 4+#",Number,5551,5346,10897,6027,5763,11790
19,"Core subjects at 332A or better, with two electives at level 4+#",Percentage,25.6%,25.6%,25.6%,21.4%,22.4%,21.9%
20,"Core subjects at 332A or better, with one elective at level 5+",Number,4232,3631,7863,4679,3944,8623
21,"Core subjects at 332A or better, with one elective at level 5+",Percentage,19.5%,17.4%,18.5%,16.6%,15.4%,16.0%
22,"Core subjects at 332A or better, with two electives at level 5+",Number,2537,1796,4333,2754,1971,4725
23,"Core subjects at 332A or better, with two electives at level 5+",Percentage,11.7%,8.6%,10.2%,9.8%,7.7%,8.8%
24,"Core subjects at 332A or better, with Mathematics Extended Part at level 2+ and one elective at level 2+#",Number,3579,2071,5650,4015,2357,6372
25,"Core subjects at 332A or better, with Mathematics Extended Part at level 2+ and one elective at level 2+#",Percentage,16.5%,9.9%,13.3%,14.2%,9.2%,11.8%
26,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 2+#",Number,3288,1816,5104,3686,2070,5756
27,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 2+#",Percentage,15.1%,8.7%,12.0%,13.1%,8.1%,10.7%
28,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 3+#",Number,3276,1800,5076,3673,2054,5727
29,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 3+#",Percentage,15.1%,8.6%,11.9%,13.0%,8.0%,10.6%
