No.,Description,Type,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Male,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Female,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Total,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Male,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Female,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Total
1,No. of candidates,Number,18271,18567,36838,20278,20291,40569
2,Total grade points 8 – 11 in the best five subjects,Number,30,67,97,34,76,110
3,Total grade points 8 – 11 in the best five subjects,Percentage,0.2%,0.4%,0.3%,0.2%,0.4%,0.3%
4,Total grade points 12 – 14 in the best five subjects,Number,420,830,1250,462,877,1339
5,Total grade points 12 – 14 in the best five subjects,Percentage,2.3%,4.5%,3.4%,2.3%,4.3%,3.3%
6,Total grade points 15 – 17 in the best five subjects,Number,1697,2476,4173,1834,2635,4469
7,Total grade points 15 – 17 in the best five subjects,Percentage,9.3%,13.3%,11.3%,9.0%,13.0%,11.0%
8,Total grade points 18 – 20 in the best five subjects,Number,2346,2902,5248,2524,3100,5624
9,Total grade points 18 – 20 in the best five subjects,Percentage,12.8%,15.6%,14.2%,12.4%,15.3%,13.9%
10,Total grade points 21 – 23 in the best five subjects,Number,1859,2001,3860,2012,2139,4151
11,Total grade points 21 – 23 in the best five subjects,Percentage,10.2%,10.8%,10.5%,9.9%,10.5%,10.2%
12,Total grade points 24 – 26 in the best five subjects,Number,1050,1059,2109,1165,1151,2316
13,Total grade points 24 – 26 in the best five subjects,Percentage,5.7%,5.7%,5.7%,5.7%,5.7%,5.7%
14,Total grade points 27 – 29 in the best five subjects,Number,635,519,1154,695,593,1288
15,Total grade points 27 – 29 in the best five subjects,Percentage,3.5%,2.8%,3.1%,3.4%,2.9%,3.2%
16,Total grade points 30 – 32 in the best five subjects,Number,347,210,557,368,233,601
17,Total grade points 30 – 32 in the best five subjects,Percentage,1.9%,1.1%,1.5%,1.8%,1.1%,1.5%
18,Total grade points 33 – 35 in the best five subjects,Number,155,88,243,162,97,259
19,Total grade points 33 – 35 in the best five subjects,Percentage,0.8%,0.5%,0.7%,0.8%,0.5%,0.6%
