No.,Description,Type,"Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Male","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Female","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Total","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Male","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Female","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Total"
1,No. of candidates,Number,18271,18567,36838,18271,18567,36838
2,Total grade points 12 – 14 in the best five subjects,Number,363,703,1066,357,695,1052
3,Total grade points 12 – 14 in the best five subjects,Percentage,2.0%,3.8%,2.9%,2.0%,3.7%,2.9%
4,Total grade points 15 – 17 in the best five subjects,Number,1727,2495,4222,1685,2451,4136
5,Total grade points 15 – 17 in the best five subjects,Percentage,9.5%,13.4%,11.5%,9.2%,13.2%,11.2%
6,Total grade points 18 – 20 in the best five subjects,Number,2501,2984,5485,2346,2901,5247
7,Total grade points 18 – 20 in the best five subjects,Percentage,13.7%,16.1%,14.9%,12.8%,15.6%,14.2%
8,Total grade points 21 – 23 in the best five subjects,Number,1853,1985,3838,1859,2001,3860
9,Total grade points 21 – 23 in the best five subjects,Percentage,10.1%,10.7%,10.4%,10.2%,10.8%,10.5%
10,Total grade points 24 – 26 in the best five subjects,Number,1070,1038,2108,1050,1059,2109
11,Total grade points 24 – 26 in the best five subjects,Percentage,5.9%,5.6%,5.7%,5.7%,5.7%,5.7%
12,Total grade points 27 – 29 in the best five subjects,Number,574,479,1053,635,519,1154
13,Total grade points 27 – 29 in the best five subjects,Percentage,3.1%,2.6%,2.9%,3.5%,2.8%,3.1%
14,Total grade points 30 – 32 in the best five subjects,Number,264,181,445,347,210,557
15,Total grade points 30 – 32 in the best five subjects,Percentage,1.4%,1.0%,1.2%,1.9%,1.1%,1.5%
16,Total grade points 33 – 35 in the best five subjects,Number,82,59,141,155,88,243
17,Total grade points 33 – 35 in the best five subjects,Percentage,0.4%,0.3%,0.4%,0.8%,0.5%,0.7%
