No.,Description,Type,"All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Male","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Female","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Total","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Male","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Female","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Total"
1,No. of candidates,Number,20278,20291,40569,20278,20291,40569
2,Total grade points 12 – 14 in the best five subjects,Number,392,742,1134,386,734,1120
3,Total grade points 12 – 14 in the best five subjects,Percentage,1.9%,3.7%,2.8%,1.9%,3.6%,2.8%
4,Total grade points 15 – 17 in the best five subjects,Number,1861,2652,4513,1818,2605,4423
5,Total grade points 15 – 17 in the best five subjects,Percentage,9.2%,13.1%,11.1%,9.0%,12.8%,10.9%
6,Total grade points 18 – 20 in the best five subjects,Number,2689,3185,5874,2524,3099,5623
7,Total grade points 18 – 20 in the best five subjects,Percentage,13.3%,15.7%,14.5%,12.4%,15.3%,13.9%
8,Total grade points 21 – 23 in the best five subjects,Number,2002,2117,4119,2012,2138,4150
9,Total grade points 21 – 23 in the best five subjects,Percentage,9.9%,10.4%,10.2%,9.9%,10.5%,10.2%
10,Total grade points 24 – 26 in the best five subjects,Number,1183,1134,2317,1165,1151,2316
11,Total grade points 24 – 26 in the best five subjects,Percentage,5.8%,5.6%,5.7%,5.7%,5.7%,5.7%
12,Total grade points 27 – 29 in the best five subjects,Number,632,549,1181,695,593,1288
13,Total grade points 27 – 29 in the best five subjects,Percentage,3.1%,2.7%,2.9%,3.4%,2.9%,3.2%
14,Total grade points 30 – 32 in the best five subjects,Number,285,204,489,368,233,601
15,Total grade points 30 – 32 in the best five subjects,Percentage,1.4%,1.0%,1.2%,1.8%,1.1%,1.5%
16,Total grade points 33 – 35 in the best five subjects,Number,86,67,153,162,97,259
17,Total grade points 33 – 35 in the best five subjects,Percentage,0.4%,0.3%,0.4%,0.8%,0.5%,0.6%
