行號,項目,類別,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 男生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 女生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 總數,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 男生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 女生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 總數
1,考生人數,人數,20278,20291,40569,20278,20291,40569
2,最佳五科總積點 12 – 14,人數,392,742,1134,386,734,1120
3,最佳五科總積點 12 – 14,百分比,1.9%,3.7%,2.8%,1.9%,3.6%,2.8%
4,最佳五科總積點 15 – 17,人數,1861,2652,4513,1818,2605,4423
5,最佳五科總積點 15 – 17,百分比,9.2%,13.1%,11.1%,9.0%,12.8%,10.9%
6,最佳五科總積點 18 – 20,人數,2689,3185,5874,2524,3099,5623
7,最佳五科總積點 18 – 20,百分比,13.3%,15.7%,14.5%,12.4%,15.3%,13.9%
8,最佳五科總積點 21 – 23,人數,2002,2117,4119,2012,2138,4150
9,最佳五科總積點 21 – 23,百分比,9.9%,10.4%,10.2%,9.9%,10.5%,10.2%
10,最佳五科總積點 24 – 26,人數,1183,1134,2317,1165,1151,2316
11,最佳五科總積點 24 – 26,百分比,5.8%,5.6%,5.7%,5.7%,5.7%,5.7%
12,最佳五科總積點 27 – 29,人數,632,549,1181,695,593,1288
13,最佳五科總積點 27 – 29,百分比,3.1%,2.7%,2.9%,3.4%,2.9%,3.2%
14,最佳五科總積點 30 – 32,人數,285,204,489,368,233,601
15,最佳五科總積點 30 – 32,百分比,1.4%,1.0%,1.2%,1.8%,1.1%,1.5%
16,最佳五科總積點 33 – 35,人數,86,67,153,162,97,259
17,最佳五科總積點 33 – 35,百分比,0.4%,0.3%,0.4%,0.8%,0.5%,0.6%
