No.,Description,Type,Day School Candidates - No.,Day School Candidates - Cumulative total,All Candidates - No.,All Candidates - Cumulative total
1,No. sat ,Number,42589,42589,53895,53895,
2,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 35/34/33",Number,282,282,303,303
3,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 35/34/33",Percentage,0.7%,0.7%,0.6%,0.6%
4,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 32/31/30",Number,672,954,739,1042
5,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 32/31/30",Percentage,1.6%,2.2%,1.4%,1.9%
6,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 29/28/27",Number,1258,2212,1423,2465
7,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 29/28/27",Percentage,3.0%,5.2%,2.6%,4.6%
8,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 26/25/24",Number,2200,4412,2410,4875
9,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 26/25/24",Percentage,5.2%,10.4%,4.5%,9.0%
10,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 23/22/21",Number,3926,8338,4268,9143
11,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 23/22/21",Percentage,9.2%,19.6%,7.9%,17.0%
12,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 20/19/18",Number,5162,13500,5563,14706
13,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 20/19/18",Percentage,12.1%,31.7%,10.3%,27.3%
14,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 17/16/15",Number,4169,17669,4479,19185
15,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 17/16/15",Percentage,9.8%,41.5%,8.3%,35.6%
16,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 14/13/12",Number,1091,18760,1164,20349
17,"Candidates achieved (332A)22 or above with total grade points in the best five subjects - 14/13/12",Percentage,2.6%,44.0%,2.2%,37.8%
