行號,項目,類別,日校考生 - 人數,日校考生 - 累計總人數,全體考生 - 人數,全體考生 - 累計總人數
1,出席總人數 ,人數,42589,42589,53895,53895,
2,"考生取得 (332A)22 或以上最佳五科總積點 - 35/34/33",人數,282,282,303,303
3,"考生取得 (332A)22 或以上最佳五科總積點 - 35/34/33",百分比,0.7%,0.7%,0.6%,0.6%
4,"考生取得 (332A)22 或以上最佳五科總積點 - 32/31/30",人數,672,954,739,1042
5,"考生取得 (332A)22 或以上最佳五科總積點 - 32/31/30",百分比,1.6%,2.2%,1.4%,1.9%
6,"考生取得 (332A)22 或以上最佳五科總積點 - 29/28/27",人數,1258,2212,1423,2465
7,"考生取得 (332A)22 或以上最佳五科總積點 - 29/28/27",百分比,3.0%,5.2%,2.6%,4.6%
8,"考生取得 (332A)22 或以上最佳五科總積點 - 26/25/24",人數,2200,4412,2410,4875
9,"考生取得 (332A)22 或以上最佳五科總積點 - 26/25/24",百分比,5.2%,10.4%,4.5%,9.0%
10,"考生取得 (332A)22 或以上最佳五科總積點 - 23/22/21",人數,3926,8338,4268,9143
11,"考生取得 (332A)22 或以上最佳五科總積點 - 23/22/21",百分比,9.2%,19.6%,7.9%,17.0%
12,"考生取得 (332A)22 或以上最佳五科總積點 - 20/19/18",人數,5162,13500,5563,14706
13,"考生取得 (332A)22 或以上最佳五科總積點 - 20/19/18",百分比,12.1%,31.7%,10.3%,27.3%
14,"考生取得 (332A)22 或以上最佳五科總積點 - 17/16/15",人數,4169,17669,4479,19185
15,"考生取得 (332A)22 或以上最佳五科總積點 - 17/16/15",百分比,9.8%,41.5%,8.3%,35.6%
16,"考生取得 (332A)22 或以上最佳五科總積點 - 14/13/12",人數,1091,18760,1164,20349
17,"考生取得 (332A)22 或以上最佳五科總積點 - 14/13/12",百分比,2.6%,44.0%,2.2%,37.8%
