No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,86,114,123,182,64,5,1,,575
2,5**,Percentage,0.2%,0.2%,0.3%,0.4%,0.1%,0.0%,0.0%,,1.2%
3,5*,Number,98,233,328,543,315,68,3,,1588
4,5*,Percentage,0.2%,0.5%,0.7%,1.2%,0.7%,0.1%,0.0%,,3.4%
5,5,Number,78,251,476,1119,834,231,18,5,3012
6,5,Percentage,0.2%,0.5%,1.0%,2.4%,1.8%,0.5%,0.0%,0.0%,6.5%
7,4,Number,100,396,916,3070,3851,1753,232,19,10337
8,4,Percentage,0.2%,0.9%,2.0%,6.6%,8.3%,3.8%,0.5%,0.0%,22.3%
9,3,Number,58,215,498,2294,5012,4616,1303,232,14228
10,3,Percentage,0.1%,0.5%,1.1%,5.0%,10.8%,10.0%,2.8%,0.5%,30.7%
11,2,Number,9,66,157,618,2034,4440,2918,1342,11584
12,2,Percentage,0.0%,0.1%,0.3%,1.3%,4.4%,9.6%,6.3%,2.9%,25.0%
13,1,Number,,5,23,103,184,690,1117,1526,3648
14,1,Percentage,,0.0%,0.0%,0.2%,0.4%,1.5%,2.4%,3.3%,7.9%
15,U,Number,,1,5,28,47,97,236,957,1371
16,U,Percentage,,0.0%,0.0%,0.1%,0.1%,0.2%,0.5%,2.1%,3.0%
17,Total,Number,429,1281,2526,7957,12341,11900,5828,4081,46343
18,Total,Percentage,0.9%,2.8%,5.5%,17.2%,26.6%,25.7%,12.6%,8.8%,100.0%
